sha256,agency_id,agency_name,document_title,date,num_violations,violations_list,query,response,violation,input_tokens,output_tokens,cost,duration_ms
0005aef67191b6a71053e81c44c2f70a7d60ce7b92d2ca666672f197d66e30dc,CB520304693,Upper Peninsula Family Solutions,Special Investigation Report #2020C0102008,"March 2, 2020",1,R 400.12404,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","Upper Peninsula Family Solutions, a child placing agency, was investigated for failing to timely assess a relative for placement. While that specific allegation was not substantiated, the investigation revealed two separate violations: a case contact from December 10, 2019, was not entered into the state system until February 17, 2020, and a required Relative Placement Safety Screen was not completed within five business days of the relative's expression of interest in August 2018. The agency bears clear culpability for these administrative failures, which represent lapses in required documentation and procedural timelines.",y,3680,127,,12493
0024a225c1d3dde399bd189e0cc2392aad5b47ba9720b1f2fd40204223f74bb1,CI460403164,LHS Family and Youth Services,Special Investigation Report #2022C0446027,"June 29, 2022",1,R 400.4126,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","A physical fight between two youths (Youth A and Youth B) occurred at the Adrian Group Home on May 10, 2022, resulting in one youth sustaining bruises and a bloody nose. The investigation found the facility had insufficient staff on duty, with only two instead of the usual three, which prevented them from effectively separating the youths or using safe restraint interventions, leading to a prolonged altercation. The report places clear culpability on the facility for failing to maintain adequate staffing levels to ensure resident safety and supervision.",y,3329,114,,15883
0039c6bf571d7de8482f8bfbf6751219309429b5dbeb5c59da575951444dd35f,CI820272493,VISTA MARIA - MENTAL HEALTH,Special Investigation Report #2025SIC0000600,"Special Investigation Intake Date: April 24, 2025",1,Rule 400.4158,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","A special investigation was conducted after allegations that a staff member (Staff 2) choked a youth (Youth A) during an incident where the youth was attempting to escape a wing and assault a supervisor. Interviews with staff, the youth, and a witness provided conflicting accounts, but video footage reviewed did not show Staff 2 choking the youth. The investigation concluded there was insufficient evidence to substantiate the allegation, and no violations of licensing rules were found. Based on the report's findings, culpability for the alleged choking was not established.",n,2379,127,,11385
00574906d0905de4fe6761e6bf4eb7a5fe250e57900e96425010cbc911f29418,CI410201278,MAPLE LODGE GROUP HOME,Special Investigation Report #2025SIC0000087,"Special Investigation Intake Date: November 6, 2024",1,Rule 400.4126,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","A special investigation was conducted following an allegation that a male resident (Youth B) forced a female resident (Youth A) to engage in sexual touching in a common area while under staff supervision. Two staff members were present and actively supervising but were distracted by paperwork and concerns about a vape, failing to prevent or immediately notice the incident. The investigation concluded that staff were supervising as required and no substantial licensing violations were established; however, the report's analysis implicitly indicates staff failed to provide adequate protective oversight due to divided attention.",n,5525,115,,9898
0061f513cd124d0e1510e79416aabe4b5c128b4dc99d10b7a38ee25fa4e1de37,CB280200990,Holy Cross Services - Northern Michigan CB,Special Investigation Report #2025SIC0000269,"Special Investigation Intake Date: January 6, 2025",1,Rule 400.12505,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","A complaint alleged that Youth A could not receive her Independent Living stipend check or contact anyone at the agency. The investigation found the youth had the worker's contact info and received the check promptly after texting, though the agency office was sometimes unstaffed. The delay was due to holidays and a check mailing issue. While the agency was found in compliance, the temporary lapse in office coverage and communication during a worker transition contributed to the youth's perceived difficulty. Ultimately, administrative process issues within the agency, rather than individual staff culpability, created the situation.",n,1470,122,,6131
00a734fd316d634b72f233c11ba20eddc6b8e352963006f87a2a299b36cddadc,CI520345626,Great Lakes Recovery Centers,Special Investigation Report #2021C0116040,"August 17, 2021",1,R 400.4109,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","A youth (Youth A) gave another youth (Youth C) a hickey on his neck while both were on a residential unit at the Great Lakes Recovery Center for Youth. The investigation found that a staff member (Staff 1) left the youth unsupervised, violating the facility's line-of-sight supervision policy and allowing the prohibited interaction to occur in Youth C's bedroom. The facility's administration is culpable for the staff's failure to follow supervision policies, leading to a substantiated violation.",y,2513,111,,4110
00bc1df0d8ed15b758ea4fb9f0675f52d2c0d97d88a9beb69e15f52e32070cc9,CI370377212,New Hope Youth Center,Special Investigation Report #2025SIC0000557,"Special Investigation Intake Date: April 14, 2025",2,Rule 400.4126 Sufficiency of Staff.; Rule 400.4109 Program Statement.,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","A youth was injured when another youth threw a plastic container at her face upon returning from an off-grounds trip. The investigation found that while there were enough staff present overall, the facility failed to follow its own 'line of sight' supervision policy, allowing Youth B to move unsupervised from an upstairs area to the front door to commit the assault. The report finds the facility culpable, as this was a repeat violation for failing to maintain proper supervision per its policies.",y,6498,104,,6439
00c2b2403fdd7001e91fe327fc3c376f93e6e89efc7314ec7a03050ef124c452,CB410245705,Catholic Charities West Michigan,Special Investigation Report #2020C0103040,"October 1, 2020",4,"R 400.12413; R 400.12206; R 400.12420; R
400.12418(2)","Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","The investigation found that Catholic Charities West Michigan, a child placing agency, failed to adequately monitor and document the health and case plan of a youth in its care, resulting in the youth developing significant medical issues like weight loss and pressure sores without proper follow-up. The agency's foster care worker admitted to not being aware of the youth's medical appointments and wounds, and case file reviews revealed multiple documentation failures, including outdated medical passports, missing signatures on treatment plans, and untimely entry of contacts. Culpability lies with the agency for systemic failures in supervision and oversight, as several violations were repeats indicating previous corrective actions were ineffective.",y,5461,138,,5455
00fbc257a3b08b5d8d4935c3568565c8ec91f6fbb8379c689b4cc9d35190f5ff,CI731001543,Queen of Angels,Special Investigation Report #2024SIC0001705,"Special Investigation Intake Date: August 21, 2024",5,Rule 400.4159; Rule 400.4158; Rule 400.4159; Rule 400.4159; Rule 400.4112 (4) (a): A person with ongoing duties shall,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","An investigation found that staff at Queen of Angels, a child caring institution, engaged in unsafe and prohibited physical interventions against a 12-year-old resident, including multiple pushes and an improper physical restraint, without following required de-escalation protocols or documentation procedures. The facility was found in violation of multiple rules, including a repeat violation for prohibited interventions like pushing. Primary culpability lies with the directly involved staff, particularly Staff 3, who initiated the forceful interventions and attempted to conceal the incident.",y,4806,110,,6717
00fdfbed71077510235122b3db80661578d75041081defaf73a65d8ca8f656b0,CP390201215,Michigan Department of Health and Human,Special Investigation Report #2022C0212013,"July 8, 2022",1,R 400.12206,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","An investigation substantiated that a staff member (Staff 1), a Michigan Youth Opportunities Initiative case worker at the Kalamazoo County DHHS, sent nude photographs of herself to a foster youth (Youth A) with a cognitive impairment. While an allegation about a hotel stay could not be confirmed, the sending of the explicit photos was verified through photo evidence and social media review. The staff member was placed on leave and subsequently terminated, and the facility is required to submit a corrective action plan. The primary culpability lies with the individual staff member for her grossly inappropriate and unethical conduct.",y,4317,129,,5886
