sha256,agency_id,agency_name,document_title,date,num_violations,violations_list,query,response,input_tokens,output_tokens,cost,duration_ms
b3cb69b950cf23121a9eb4f5df4ff9ad47367df15885cb52c34ae20507570aa4,CI820201063,CHRIST CHILD HOUSE,Special Investigation Report #2024SIC0001696,"Special Investigation Intake Date: August 19, 2024",2,Rule 400.4158; Rule 400.4162,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services (MDHHS) investigated **Christ Child House**, a child care facility, after allegations that a staff member (**Staff 1**) physically restrained and pushed a youth (**Youth A**) into his room, causing injuries. Video evidence confirmed Staff 1 pushed Youth A and held his door shut (a prohibited seclusion tactic), though medical reports only noted minor bruising. Staff 1 was suspended, placed on a safety plan, and the facility was cited for violating intervention and seclusion rules.  

**Culpability:** While Staff 1 bears responsibility for the improper restraint, the facility’s failure to prevent repeat violations (despite prior corrective plans) suggests systemic oversight issues.",4760,145,,7262
1f96d8c05ebae8df98733f2ba50c82ec26fb31a216050189f4d7c12cf4ac8c22,CI820293953,LINCOLN CENTER,Special Investigation Report #2024C0001161SI,"Special Investigation Intake Date: February 16, 2024",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","This document is a **Special Investigation Report** by Michigan’s Department of Health and Human Services regarding an incident at the Lincoln Center, a juvenile justice facility. The investigation was prompted by an allegation that staff inappropriately grabbed a youth (Youth A) during an altercation. Interviews with Youth A, Youth B, staff, and a supervisor, along with video footage and incident reports, found no evidence of physical punishment or policy violations. The report concluded that staff used de-escalation techniques and minimal restraint (grabbing keys from Youth A’s hand) only after non-physical interventions failed. **No violations were established**, and the facility’s license status was recommended to continue.  

**Culpability:** The investigation suggests staff acted within guidelines, though the incident highlights risks when managing volatile situations—particularly with unclear key security protocols.",2641,170,,7811
c24432c95e7bc3432c69a86a7571d84f9eb0388d3877036aaea4fc8d01aff7ce,CI370377212,New Hope Youth Center,Special Investigation Report #2025SIC0000681,"Special Investigation Intake Date: May 12, 2025",1,Rule 400.4158 Intervention standards and prohibitions.,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services investigated allegations of misconduct at New Hope Youth Center, including claims that a staff member (Staff 1) engaged in inappropriate sexual contact with a youth, came to work under the influence of marijuana, and used unprofessional language. The investigation found no evidence supporting the sexual misconduct or drug-related allegations but confirmed Staff 1 had used profanity in front of youth, resulting in a violation. The facility must submit a corrective action plan to address the language issue.  

**Culpability:** While most allegations were unsubstantiated, Staff 1 bears responsibility for the verified use of unprofessional language, and the facility must enforce stricter compliance with conduct policies.",7740,138,,5369
70138d20b37e8bb4aa9b08db7c22d869000f90d95d081bd58deb2badbba5dea0,CI250201313,MOTT CHILDRENS RESIDENCE,Special Investigation Report #2025SIC0000471,"Special Investigation Intake Date: March 17, 2025",1,Rule 400.4126 Staff sufficiency,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services issued a Special Investigation Report to Mott Children's Residence, identifying violations related to staff sufficiency and supervision. Specifically, Staff 1 admitted to falling asleep while supervising a youth at McLaren Hospital, corroborated by photographic evidence, while Staff 2 denied the allegation but refused to sign her disciplinary action. The facility was instructed to submit a corrective action plan within 15 days to address compliance issues. Culpability primarily lies with Staff 1 for failing to uphold supervision standards, but the facility also bears responsibility for systemic oversight and ensuring staff adhere to policies.",1577,119,,2168
2d07d0b19d9f25536c86dd7ea049050e131190d3d3386856ae3c0b4b72eedc3c,CE630201059,Children's Village,Special Investigation Report,"March 13, 2023",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","This document details a special investigation conducted by the Michigan Department of Health and Human Services into an allegation that Staff Person 1 at Children’s Village punched Youth A in the nose, causing a nosebleed. The investigation involved interviews with Youth A, other youth, staff members, and Supervisor 1, as well as a review of video footage and documentation. The findings concluded that there was no evidence of physical contact between Staff Person 1 and Youth A, and the allegation was unsubstantiated. The facility was found to be in compliance with all applicable rules and statutes, and no violations were established. Ultimately, culpability cannot be definitively assigned due to insufficient evidence supporting the allegation, but the investigation lacked concrete corroboration of Youth A’s claim.",2655,153,,3219
bea96df3fb065b8c824ee4e800c8e90e99d9f41daa88f0dfcda8bed4f29e6301,CI731001543,Queen of Angels,Special Investigation Report #2024SIC0001775,"Special Investigation Intake Date: September 18, 2024",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","A special investigation was conducted at Queen of Angels, a licensed child welfare facility, following allegations that two residents—Youth A (13) and Youth B (17)—were engaged in an inappropriate relationship, including exchanging letters and physical contact (e.g., touching, kissing) during an AWOL incident. Interviews revealed staff were unaware of the relationship until after the AWOL, when letters were discovered during a room search. The facility had already implemented heightened supervision for Youth A due to her history of seeking male attention, but no violations of staffing or supervision rules were found. The investigation concluded no wrongdoing by staff, as they had no prior knowledge of the relationship and took corrective action once discovered.  

**Culpability:** While the facility followed protocols, the age gap and the fact that the relationship escalated to physical contact during an AWOL suggest a need for stricter monitoring of high-risk interactions between residents.",2211,179,,7859
9f0fac63f2a2316ed0d6d1e1a7b6df97435c9dded4aedad19b40549555785ed1,CI250309991,OPTIMIST HOUSE,Special Investigation Report #2025SIC0000477,"Special Investigation Intake Date: March 17, 2025",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","This document is a **Special Investigation Report** from Michigan’s Department of Health and Human Services (MDHHS) regarding allegations that a staff member (Clinical Supervisor) at Optimist House, a facility run by Whaley Children’s Center, received payouts to cover up sexual abuse. The investigation found **no evidence** to support the claims—interviews with the Clinical Supervisor, Chief Operating Officer, and Chief Program Officer, along with a review of personnel and payment records, confirmed that bonuses were standard and unrelated to misconduct. The facility was deemed compliant, and no violations were substantiated.  

**On culpability:** While the investigation cleared the accused, the fact that such allegations surfaced suggests either misunderstandings, internal tensions, or unresolved concerns about the facility’s culture that warrant ongoing scrutiny.",1691,160,,5000
4296b5cac92174d93537d4eb3c6a45eefc5437f53d2493b311ddfb1714131397,CE821001676,Wayne County Juvenile Detention Facility,Special Investigation Report #2025SIC0000967,Special Investigation Intake Date: 08/25/2025,3,Rule 400.4126 Sufficiency of staff.; Rule 400.4127 Staff to resident ratio.; R 400.4109,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services conducted a special investigation into the Wayne County Juvenile Detention Facility following an incident where two youths engaged in consensual sexual activity in a shower. The investigation revealed multiple violations, including insufficient staff supervision, failure to enforce shower procedure policies, and lapses in documentation and monitoring. Staff failed to maintain proper line of sight during shower time, allowing the incident to occur unnoticed. Additionally, the facility violated its own procedures regarding shower start times, duration, and youth supervision. Culpability lies primarily with facility management and staff for systemic failures in supervision and adherence to policies, highlighting a need for immediate corrective action.",4474,130,,3190
c2c8b4b6029dac60707b2f1d373cffe5b417df90cb86997ae4842d5643c50a33,CE630201058,Children's Village,Special Investigation Report #2,02/06/2023,0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","This document is a Special Investigation Report conducted by the Michigan Department of Health and Human Services regarding an allegation of sexual assault at Children's Village, a facility for youth. The report details an investigation into allegations made by Youth A, who claimed to have been raped while sedated and restrained on December 14, 2022. The investigation included interviews with Youth A, staff, and supervisors, as well as reviews of incident reports, video footage, and personnel files. The report concluded that no substantial violations were found, and no evidence supported the allegation that staff had sexual contact with Youth A. The facility was deemed in compliance with licensing statutes and rules.

Culpability: While the investigation found no evidence to substantiate the claims, the seriousness of the allegation and the circumstances surrounding Youth A's experiences warrant continued vigilance and scrutiny to ensure the safety and well-being of all residents.",2116,176,,3962
a3965facff00ae41cee0ddd30291f0e30f27c7129e0bbec2fd2d2f00fc1fdf09,CI410201226,KENTWOOD CAMPUS,Special Investigation Report #2024SIC0001532,"Special Investigation Intake Date: June 24, 2024",1,Rule 400.4158 Intervention standards and prohibitions.,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","A staff member (Staff 1) at Wedgwood Christian Services' Kentwood Campus punched a youth (Youth A) in the face after the youth spat on them and allegedly made racial slurs. The incident followed escalating aggression from Youth A, who had a history of violent behavior and bullying others at the facility. The Michigan Department of Health and Human Services (MDHHS) investigated and found the facility in violation of rules prohibiting physical punishment, requiring a corrective action plan. Staff 1 was terminated, and Youth A expressed feeling unsafe due to retaliation from peers.  

**Culpability:** While Youth A’s behavior was provocative, Staff 1 bears primary responsibility for violating professional conduct standards by resorting to physical violence, which is inexcusable in a care setting. The facility also shares blame for failing to prevent repeated incidents involving Youth A and for inadequate supervision.",4641,176,,4679
